2025-12-14 13:47:19,580 [INFO] SIMULATION | User: terrelnuentsa | Montant: 50000€ | Durée: 10 ans | Revenus: 4000€ | Apport: 4000€ | Dettes: 2€ | Score: 76 | Décision IA: ACCEPTEE
2025-12-14 13:48:01,317 [INFO] SIMULATION | User: terrelnuentsa | Montant: 50000€ | Durée: 25 ans | Revenus: 4000€ | Apport: 4000€ | Dettes: 2€ | Score: 85 | Décision IA: ACCEPTEE
2026-02-11 22:02:29,586 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 2000€ | Apport: 0€ | Dettes: 1000€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:02:31,270 [INFO] SIMULATION | User: tester | Montant: 120000€ | Durée: 10 ans | Revenus: 5000€ | Apport: 0€ | Dettes: 0€ | Score: 89 | Décision IA: ACCEPTEE
2026-02-11 22:02:31,631 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 400€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:03:17,705 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 2000€ | Apport: 0€ | Dettes: 1000€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:03:18,099 [INFO] SIMULATION | User: tester | Montant: 120000€ | Durée: 10 ans | Revenus: 5000€ | Apport: 0€ | Dettes: 0€ | Score: 89 | Décision IA: ACCEPTEE
2026-02-11 22:03:18,449 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 400€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:04:05,827 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 2000€ | Apport: 0€ | Dettes: 1000€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:04:06,224 [INFO] SIMULATION | User: tester | Montant: 120000€ | Durée: 10 ans | Revenus: 5000€ | Apport: 0€ | Dettes: 0€ | Score: 89 | Décision IA: ACCEPTEE
2026-02-11 22:04:06,578 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 400€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:05:31,911 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 2000€ | Apport: 0€ | Dettes: 1000€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:05:32,297 [INFO] SIMULATION | User: tester | Montant: 120000€ | Durée: 10 ans | Revenus: 5000€ | Apport: 0€ | Dettes: 0€ | Score: 89 | Décision IA: ACCEPTEE
2026-02-11 22:05:32,647 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 400€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:05:32,998 [INFO] SIMULATION | User: charlie | Montant: 5000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 0€ | Dettes: 0€ | Score: 74 | Décision IA: REFUSEE
2026-02-11 22:06:32,937 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 2000€ | Apport: 0€ | Dettes: 1000€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:06:33,323 [INFO] SIMULATION | User: tester | Montant: 120000€ | Durée: 10 ans | Revenus: 5000€ | Apport: 0€ | Dettes: 0€ | Score: 89 | Décision IA: ACCEPTEE
2026-02-11 22:06:33,670 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 1200€ | Apport: 0€ | Dettes: 400€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:06:34,020 [INFO] SIMULATION | User: charlie | Montant: 5000€ | Durée: 2 ans | Revenus: 3000€ | Apport: 0€ | Dettes: 0€ | Score: 74 | Décision IA: REFUSEE
2026-02-11 22:07:53,322 [INFO] SIMULATION | User: tester | Montant: 10000€ | Durée: 5 ans | Revenus: 2000€ | Apport: 0€ | Dettes: 1000€ | Score: 0 | Décision IA: REFUSEE
2026-02-11 22:07:53,719 [INFO] SIMULATION | User: tester | Montant: 120000€ | Durée: 10 ans | Revenus: 5000€ | Apport: 0€ | Dettes: 0€ | Score: 89 | Décision IA: ACCEPTEE
